CartEventID,UserID,SessionID,ProductID,EventType,Timestamp
CE0000,U0000,S0000,P0000,remove,2024-01-01 00:00:00
CE0001,U0001,S0001,P0001,view,2024-01-01 01:00:00
CE0002,U0002,S0002,P0002,view,2024-01-01 02:00:00
CE0003,U0003,S0003,P0003,purchase,2024-01-01 03:00:00
CE0004,U0004,S0004,P0004,remove,2024-01-01 04:00:00
CE0005,U0005,S0005,P0005,add,2024-01-01 05:00:00
CE0006,U0006,S0006,P0006,view,2024-01-01 06:00:00
CE0007,U0007,S0007,P0007,view,2024-01-01 07:00:00
CE0008,U0008,S0008,P0008,view,2024-01-01 08:00:00
CE0009,U0009,S0009,P0009,add,2024-01-01 09:00:00
CE0010,U0010,S0010,P0010,remove,2024-01-01 10:00:00
CE0011,U0011,S0011,P0011,remove,2024-01-01 11:00:00
CE0012,U0012,S0012,P0012,remove,2024-01-01 12:00:00
CE0013,U0013,S0013,P0013,view,2024-01-01 13:00:00
CE0014,U0014,S0014,P0014,purchase,2024-01-01 14:00:00
CE0015,U0015,S0015,P0015,add,2024-01-01 15:00:00
CE0016,U0016,S0016,P0016,remove,2024-01-01 16:00:00
CE0017,U0017,S0017,P0017,purchase,2024-01-01 17:00:00
CE0018,U0018,S0018,P0018,remove,2024-01-01 18:00:00
CE0019,U0019,S0019,P0019,add,2024-01-01 19:00:00
CE0020,U0020,S0020,P0020,purchase,2024-01-01 20:00:00
CE0021,U0021,S0021,P0021,view,2024-01-01 21:00:00
CE0022,U0022,S0022,P0022,view,2024-01-01 22:00:00
CE0023,U0023,S0023,P0023,purchase,2024-01-01 23:00:00
CE0024,U0024,S0024,P0024,remove,2024-01-02 00:00:00
CE0025,U0025,S0025,P0025,purchase,2024-01-02 01:00:00
CE0026,U0026,S0026,P0026,view,2024-01-02 02:00:00
CE0027,U0027,S0027,P0027,remove,2024-01-02 03:00:00
CE0028,U0028,S0028,P0028,add,2024-01-02 04:00:00
CE0029,U0029,S0029,P0029,remove,2024-01-02 05:00:00
CE0030,U0030,S0030,P0030,remove,2024-01-02 06:00:00
CE0031,U0031,S0031,P0031,view,2024-01-02 07:00:00
CE0032,U0032,S0032,P0032,remove,2024-01-02 08:00:00
CE0033,U0033,S0033,P0033,view,2024-01-02 09:00:00
CE0034,U0034,S0034,P0034,purchase,2024-01-02 10:00:00
CE0035,U0035,S0035,P0035,add,2024-01-02 11:00:00
CE0036,U0036,S0036,P0036,purchase,2024-01-02 12:00:00
CE0037,U0037,S0037,P0037,purchase,2024-01-02 13:00:00
CE0038,U0038,S0038,P0038,purchase,2024-01-02 14:00:00
CE0039,U0039,S0039,P0039,view,2024-01-02 15:00:00
CE0040,U0040,S0040,P0040,purchase,2024-01-02 16:00:00
CE0041,U0041,S0041,P0041,add,2024-01-02 17:00:00
CE0042,U0042,S0042,P0042,add,2024-01-02 18:00:00
CE0043,U0043,S0043,P0043,add,2024-01-02 19:00:00
CE0044,U0044,S0044,P0044,add,2024-01-02 20:00:00
CE0045,U0045,S0045,P0045,purchase,2024-01-02 21:00:00
CE0046,U0046,S0046,P0046,add,2024-01-02 22:00:00
CE0047,U0047,S0047,P0047,purchase,2024-01-02 23:00:00
CE0048,U0048,S0048,P0048,view,2024-01-03 00:00:00
CE0049,U0049,S0049,P0049,view,2024-01-03 01:00:00
CE0050,U0050,S0050,P0050,remove,2024-01-03 02:00:00
CE0051,U0051,S0051,P0051,remove,2024-01-03 03:00:00
CE0052,U0052,S0052,P0052,add,2024-01-03 04:00:00
CE0053,U0053,S0053,P0053,remove,2024-01-03 05:00:00
CE0054,U0054,S0054,P0054,remove,2024-01-03 06:00:00
CE0055,U0055,S0055,P0055,remove,2024-01-03 07:00:00
CE0056,U0056,S0056,P0056,remove,2024-01-03 08:00:00
CE0057,U0057,S0057,P0057,view,2024-01-03 09:00:00
CE0058,U0058,S0058,P0058,view,2024-01-03 10:00:00
CE0059,U0059,S0059,P0059,purchase,2024-01-03 11:00:00
CE0060,U0060,S0060,P0060,view,2024-01-03 12:00:00
CE0061,U0061,S0061,P0061,add,2024-01-03 13:00:00
CE0062,U0062,S0062,P0062,purchase,2024-01-03 14:00:00
CE0063,U0063,S0063,P0063,view,2024-01-03 15:00:00
CE0064,U0064,S0064,P0064,add,2024-01-03 16:00:00
CE0065,U0065,S0065,P0065,purchase,2024-01-03 17:00:00
CE0066,U0066,S0066,P0066,purchase,2024-01-03 18:00:00
CE0067,U0067,S0067,P0067,purchase,2024-01-03 19:00:00
CE0068,U0068,S0068,P0068,view,2024-01-03 20:00:00
CE0069,U0069,S0069,P0069,view,2024-01-03 21:00:00
CE0070,U0070,S0070,P0070,purchase,2024-01-03 22:00:00
CE0071,U0071,S0071,P0071,remove,2024-01-03 23:00:00
CE0072,U0072,S0072,P0072,remove,2024-01-04 00:00:00
CE0073,U0073,S0073,P0073,purchase,2024-01-04 01:00:00
CE0074,U0074,S0074,P0074,view,2024-01-04 02:00:00
CE0075,U0075,S0075,P0075,remove,2024-01-04 03:00:00
CE0076,U0076,S0076,P0076,add,2024-01-04 04:00:00
CE0077,U0077,S0077,P0077,purchase,2024-01-04 05:00:00
CE0078,U0078,S0078,P0078,remove,2024-01-04 06:00:00
CE0079,U0079,S0079,P0079,purchase,2024-01-04 07:00:00
CE0080,U0080,S0080,P0080,remove,2024-01-04 08:00:00
CE0081,U0081,S0081,P0081,add,2024-01-04 09:00:00
CE0082,U0082,S0082,P0082,purchase,2024-01-04 10:00:00
CE0083,U0083,S0083,P0083,view,2024-01-04 11:00:00
CE0084,U0084,S0084,P0084,remove,2024-01-04 12:00:00
CE0085,U0085,S0085,P0085,remove,2024-01-04 13:00:00
CE0086,U0086,S0086,P0086,remove,2024-01-04 14:00:00
CE0087,U0087,S0087,P0087,purchase,2024-01-04 15:00:00
CE0088,U0088,S0088,P0088,add,2024-01-04 16:00:00
CE0089,U0089,S0089,P0089,view,2024-01-04 17:00:00
CE0090,U0090,S0090,P0090,view,2024-01-04 18:00:00
CE0091,U0091,S0091,P0091,add,2024-01-04 19:00:00
CE0092,U0092,S0092,P0092,purchase,2024-01-04 20:00:00
CE0093,U0093,S0093,P0093,purchase,2024-01-04 21:00:00
CE0094,U0094,S0094,P0094,view,2024-01-04 22:00:00
CE0095,U0095,S0095,P0095,add,2024-01-04 23:00:00
CE0096,U0096,S0096,P0096,view,2024-01-05 00:00:00
CE0097,U0097,S0097,P0097,view,2024-01-05 01:00:00
CE0098,U0098,S0098,P0098,purchase,2024-01-05 02:00:00
CE0099,U0099,S0099,P0099,purchase,2024-01-05 03:00:00
